subpartida_ue
1701141000
1701149000
2106902010
2106902090
2106903010
2106903090
2106905110
2106905190
2106905510
2106905590
2106905910
2106905992
2106905999
2106909240
2106909250
2106909255
2106909265
2106909275
2106909285
2106909815
2106909826
2106909828
2106909830
2106909833
2106909834
2106909835
2106909836
2106909838
2106909842
2106909843
2106909849
2106909853
2106909860
2106909869
